PLANTSCNAME,NAME,PRICE,AMOUNTSALE,AMOUNT,UNIT
Mitreola sessilifolia (J.F. Gmel.) G. Don,Swamp Hornpod,92,14,76,error: Field 'good' not found
Homomallium mexicanum Cardot,Mexican Homomallium Moss,90,10,76,error: Field 'good' not found
Ledum palustre L. ssp. decumbens (Aiton) Hultén,Marsh Labrador Tea,48,2,67,error: Field 'good' not found
Glandularia gooddingii (Briq.) Solbrig,Southwestern Mock Vervain,80,72,32,error: Field 'good' not found
Mertensia lanceolata (Pursh) DC. var. secundorum Cockerell,Prairie Bluebells,99,67,52,error: Field 'good' not found
Stenorrhynchos speciosum (Jacq.) Rich. ex Spreng.,Latin American Lady Orchid,45,32,76,error: Field 'good' not found
Paspalum scrobiculatum L.,Kodomillet,16,20,96,error: Field 'good' not found
Helenium microcephalum DC.,Smallhead Sneezeweed,89,54,39,error: Field 'good' not found
Chimaphila umbellata (L.) W.P.C. Barton,Pipsissewa,17,83,70,error: Field 'good' not found
Mentha ×piperita L. (pro sp.),Peppermint,100,31,83,error: Field 'good' not found
Astragalus kentrophyta A. Gray var. elatus S. Watson,Tall Spiny Milkvetch,29,68,36,error: Field 'good' not found
Poa glauca Vahl,Glaucous Bluegrass,63,17,77,error: Field 'good' not found
Muhlenbergia palmeri Vasey,Southwestern Muhly,31,17,7,error: Field 'good' not found
Urena lobata L.,Caesarweed,17,42,72,error: Field 'good' not found
Machaerina angustifolia (Gaudich.) T. Koyama,Polynesian Twigrush,65,14,68,error: Field 'good' not found
Sagittaria montevidensis Cham. & Schltdl.,Giant Arrowhead,51,12,66,error: Field 'good' not found
Eriogonum umbellatum Torr. var. chlorothamnus Reveal,Sulphur-flower Buckwheat,18,28,83,error: Field 'good' not found
Ligusticum scoticum L. ssp. hultenii (Fernald) Calder & Roy L. Taylor,Hulten's Licorice-root,33,77,100,error: Field 'good' not found
Dicranella heteromalla (Hedw.) Schimp.,Dicranella Moss,3,55,11,error: Field 'good' not found
Lomatium lucidum (Nutt. ex Torr. & A. Gray) Jeps.,Shiny Biscuitroot,33,12,61,error: Field 'good' not found
Chamaesyce jejuna (M.C. Johnst. & Warnock) Shinners,Dwarf Sandmat,84,70,47,error: Field 'good' not found
Collema texanum Tuck.,Texas Jelly Lichen,29,90,25,error: Field 'good' not found
Sclerocarpus Jacq.,Bonebract,1,49,4,error: Field 'good' not found
Plantago subnuda Pilg.,Tall Coastal Plantain,21,9,49,error: Field 'good' not found
Balduina atropurpurea Harper,Purpledisk Honeycombhead,67,30,67,error: Field 'good' not found
Astragalus lentiginosus Douglas ex Hook. var. palans (M.E. Jones) M.E. Jones,Freckled Milkvetch,38,67,38,error: Field 'good' not found
Timmia megapolitana Hedw. var. bavarica (Hessl.) Brid.,Bavarian Timmia Moss,86,26,24,error: Field 'good' not found
Crassula tillaea Lester-Garland,Moss Pygmyweed,35,18,36,error: Field 'good' not found
Themeda quadrivalvis (L.) Kuntze,Kangaroo Grass,28,71,11,error: Field 'good' not found
Hibiscadelphus ×puakuahiwi K. Baker & S. Allen,Hibiscadelphus,77,73,27,error: Field 'good' not found
Mollugo nudicaulis Lam. var. navassensis Ekman,Navassa Nakedstem Carpetweed,17,94,58,error: Field 'good' not found
Justicia angusta (Chapm.) Small,Pineland Water-willow,6,11,82,error: Field 'good' not found
Carex edwardsiana Bridges & Orzell,Edwards Plateau Sedge,74,77,53,error: Field 'good' not found
Blennosperma Less.,Stickyseed,75,99,13,error: Field 'good' not found
Sideroxylon americanum (Mill.) T.D. Penn.,Milk-berry,28,55,44,error: Field 'good' not found
Phyllostegia glabra (Gaudich.) Benth. var. glabra,Ulihi Phyllostegia,18,24,85,error: Field 'good' not found
Quercus palmeri Engelm.,Palmer Oak,68,44,72,error: Field 'good' not found
Berberis julianae C.K. Schneid.,Wintergreen Barberry,5,98,9,error: Field 'good' not found
Iliamna crandallii (Rydb.) Wiggins,Crandall's Wild Hollyhock,45,26,88,error: Field 'good' not found
Saltugilia (V.E. Grant) L.A. Johnson,Saltugilia,79,5,60,error: Field 'good' not found
Isoetes flaccida Shuttlw. ex A. Braun var. flaccida,Southern Quillwort,33,24,98,error: Field 'good' not found
Graphina virginea (Eschw.) Müll. Arg.,Graphina Lichen,76,20,56,error: Field 'good' not found
Vandenboschia tubiflora F.S. Wagner,Kauai Fern,95,47,4,error: Field 'good' not found
Piper glabrescens (Miq.) C. DC.,Guyanese Pepper,87,6,94,error: Field 'good' not found
Olea europaea L. ssp. cuspidata (Wall. ex G. Don) Ciferri,African Olive,56,74,46,error: Field 'good' not found
Carex sterilis Willd.,Dioecious Sedge,75,88,7,error: Field 'good' not found
Astragalus alpinus L. var. brunetianus Fernald,Alpine Milkvetch,60,66,82,error: Field 'good' not found
Lichenoconium usneae (Anzi) D. Hawksw.,Usnea Lichenoconium Lichen,31,50,94,error: Field 'good' not found
Cryptogramma R. Br.,Rockbrake,97,54,69,error: Field 'good' not found
Ulex europaeus L.,Common Gorse,1,59,3,error: Field 'good' not found
Clematis vitalba L.,Evergreen Clematis,12,9,81,error: Field 'good' not found
Alpinia Roxb.,Alpinia,21,82,1,error: Field 'good' not found
Stylogyne A. DC.,Stylogyne,9,71,57,error: Field 'good' not found
Ipomoea triloba L.,Littlebell,4,96,28,error: Field 'good' not found
Fragaria vesca L. ssp. bracteata (A. Heller) Staudt,Woodland Strawberry,35,80,76,error: Field 'good' not found
Elymus ×pinaloensis (Pyrah) Barkworth & D.R. Dewey,Wildrye,55,22,96,error: Field 'good' not found
Noccaea montana (L.) F.K. Mey. [excluded],Alpine Pennycress,98,70,60,error: Field 'good' not found
